"For ""Customers who have registered their point card online"" and ""Customers who do not have a point card and have registered as a new member"", if you use the point card function at a store, it will take approximately 15 minutes after registration is completed.",「ポイントカードWEB登録のお客様」および「ポイントカードをお持ちでなく新規会員登録されたお客様」は、店頭でポイントカード機能をご利用頂く場合、登録完了後15分程お時間が掛かります。
"On the day the point card is issued","ポイントカード発行当日は、"
"・Only ""addition of points"" is possible. <br>・You cannot use points.",・「ポイントの加算」のみ可能です。<br>・「ポイントの使用」はできません。
"Click here for member menu","会員メニューはこちら"
"Return to top page","トップページへ戻る"
"Please enter your email address.","メールアドレスを入力してください。"
"There is an error in your email address.","メールアドレスに誤りがあります。"
"Please enter your name (last name).","お名前（姓）を入力してください。"
"Please enter your name (first name).","お名前（名）を入力してください。"
"Please enter your furigana (last name).","フリガナ（姓）を入力してください。"
"Please enter your furigana (first name).","フリガナ（名）を入力してください。"
"Please enter the furigana (last name) in katakana.","フリガナ（姓）はカタカナで入力してください。"
"Please enter the furigana (first name) in katakana.","フリガナ（名）はカタカナで入力してください。"
"Please enter your verification number.","認証番号を入力してください。"
"Please enter the verification number using {0} half-width numbers.","認証番号は半角数字{0}文字で入力してください。"
"The verification number has expired. Please reissue the verification number from the previous screen.","認証番号の有効期限がきれています。前の画面から認証番号を再発行してください。"
"The verification number you entered is incorrect. Please check the verification number and re-enter it.","入力された認証番号が正しくありません。認証番号を確認の上、再入力をお願いします。"
"Please enter the furigana (last name) in katakana (full-width).","フリガナ（姓）はカタカナ（全角）で入力してください。"
"Please enter the furigana (first name) in katakana (full-width).","フリガナ（名）はカタカナ（全角）で入力してください。"
"Please select your gender.","性別を選択してください。"
"Please enter your date of birth.","生年月日を入力してください。"
"Please enter your postal code.","郵便番号を入力してください。"
"Please select a prefecture.","都道府県を選択してください。"
"Please enter the address.","丁番地を入力してください。"
"The postal code you entered is incorrect please enter a valid postal code.","入力された郵便番号が正しくありません。正しい郵便番号をご入力ください。"
"Please enter your phone number in the correct format.","電話番号は正しい形式で入力してください。"
"Please enter your password.","パスワードを入力してください。"
Please enter your password using a combination of half-width alphanumeric characters and at least {0} digits.,"パスワードは半角英字と数字を組み合わせた{0}桁以上で入力してください。"
"Please specify a password that includes alphanumeric characters.","英数字が混在したパスワードをご指定ください。"
"Please check","ご確認ください"
"Some items are not entered correctly. Please check the items displayed in red.","正しく入力されていない項目があります。赤く表示されている項目をご確認ください。"
"Please enter in half-width numbers.","半角数字で入力してください。"
"Please enter %1 digits.","%1桁で入力してください。"
"Please enter the postal code using %1 half-width digits.","郵便番号は半角数字%1桁で入力してください。"
"Please enter your date of birth correctly.","生年月日を正しく入力してください。"
"Do you want to leave this page?","このページから移動しますか？"
"If you move the page, the information you have entered so far will be discarded.","ページを移動すると今まで入力した内容は破棄されます。"
"Discard and move contents","内容を破棄して移動する"
"continue typing","入力を続ける"
%name Mr.,%name 様
"<a href=""%link"">%link</a>Thank you for using our service.","<a href=""%link"">%link</a>をご利用いただき、ありがとうございます。"
"Please enter the verification number below into the screen displayed on your browser.","ブラウザに表示された画面に以下の認証番号を入力してください。"
"Certification number:","認証番号："
"【Note】","【注意】"
"The verification number is valid for 30 minutes after issuance.","認証番号の有効時間は発行後30分です。"
"If a certification number is issued multiple times, the last certification number issued will be valid.","認証番号を複数回発行した場合、最後に発行した認証番号が有効となります。"
"If you do not recognize this email, please delete this email.","本メールに心当たりがない場合は、お手数ですが本メールの削除をお願いします。"
"This email is for delivery only. Please note that we cannot accept replies.","本メールは配信専用です。ご返信を承ることができませんのでご了承ください。"
"If you have any questions, please contact us using the form below.","ご不明点等ございましたら下記よりお問い合わせください。"
%name network store support center,%name ネットワークストアサポートセンター
Frequently Asked Questions (Click here for various inquiries),よくあるご質問（各種お問い合わせはこちら）
"The email address you entered will not be available until 12 hours have passed because you have entered the verification number incorrectly more than the specified number of times.","認証番号の入力ミスが規定回数を超えたため、入力されたメールアドレスは12時間経過するまで利用いただけません。"
"The email address you entered is currently unavailable because it has exceeded the specified number of authentication attempts.","ご入力されたメールアドレスは認証の規定回数を超えたため現在ご利用いただけません。"
"Password does not match","パスワードが一致しません"
"Timed out","タイムアウトしました"
"Please log in again from the top page.","再度トップページよりログインをお願いします。"
"Possible causes include:","次のような原因が考えられます。"
"If you are logged in and have not operated for a long time","ログイン状態で長時間操作しなかった場合"
"If it's very crowded","非常に混雑している場合"
"Return to top page","トップページに戻る"
"Member ID input","会員ID入力"
"Membership registration","会員登録"
"Application for membership registration","会員登録のお申し込み"
